,Fitness,Precision,Simplicity,Generalization
0,1.0,1.0,0.8,0.8127838776341147
1,0.9722235550914035,0.9815151515151516,0.6666666666666666,0.8226442600897033
2,1.0,0.992,0.8181818181818181,0.8177364044849579
3,0.9612347656004987,0.9741309620048505,0.6470588235294118,0.7849333982462336
4,0.9624092280549235,0.9918256130790191,0.7142857142857143,0.7938306796048455
5,1.0,1.0,0.8,0.7828898670829316
6,1.0,1.0,0.8,0.812902236839309
7,1.0,1.0,0.8947368421052632,0.834439758129734
8,1.0,1.0,1.0,0.9
9,1.0,0.9927586206896551,0.7931034482758622,0.8130231226844007
10,1.0,0.9927586206896551,0.7931034482758622,0.8130231226844007
11,1.0,0.9907692307692307,0.7777777777777779,0.8415264252825971
12,1.0,1.0,0.9354838709677418,0.824083827421848
13,1.0,1.0,0.8,0.812902236839309
14,1.0,1.0,1.0,0.9
15,0.964547091840823,0.9698344901227977,0.6888888888888889,0.8215017683514569
16,1.0,1.0,1.0,0.8783489257267705
17,1.0,1.0,0.8947368421052632,0.8266583276248998
18,1.0,1.0,0.8,0.7717064758849371
19,1.0,1.0,1.0,0.9
20,1.0,1.0,0.9310344827586208,0.871623516991177
21,1.0,1.0,1.0,0.8765283631264775
22,1.0,0.9941379310344828,0.8378378378378379,0.8416503041614898
23,1.0,1.0,1.0,0.9
24,1.0,1.0,1.0,0.9
25,0.964547091840823,0.9698344901227977,0.6888888888888889,0.8215017683514569
26,1.0,1.0,1.0,0.9
27,1.0,1.0,0.8947368421052632,0.8266583276248998
28,1.0,0.9959090909090909,0.8571428571428572,0.807987011815096
29,1.0,1.0,1.0,0.8783489257267705
30,1.0,1.0,0.8,0.8127838776341147
31,1.0,1.0,1.0,0.9
32,1.0,1.0,1.0,0.9
33,1.0,1.0,1.0,0.9
34,1.0,0.9928125,0.8064516129032256,0.8111648824710486
35,1.0,1.0,1.0,0.8631810166779471
36,1.0,1.0,0.9047619047619049,0.8603268963528353
37,1.0,1.0,0.8,0.7717064758849371
38,0.9435466502274918,0.9801599052413384,0.6129032258064515,0.8109659409251244
39,1.0,0.9818518518518519,0.7333333333333333,0.8194258387401397
40,1.0,1.0,0.9130434782608695,0.8230509179526804
41,1.0,1.0,0.8947368421052632,0.834439758129734
42,1.0,0.992,0.8181818181818181,0.8177364044849579
43,0.9270196150255172,0.9753193960511034,0.6521739130434783,0.8022760852162936
44,1.0,0.9907692307692307,0.7777777777777779,0.8415264252825971
45,0.9537195560336333,1.0,0.7777777777777779,0.8174515418511663
46,0.9660044431800116,0.9957236842105263,0.6666666666666666,0.8006100740868837
47,1.0,0.9787878787878788,0.7647058823529413,0.7950966073758514
48,1.0,1.0,0.9259259259259258,0.8333792748370179
49,0.9660044431800116,0.9957236842105263,0.6666666666666666,0.8006100740868837
50,1.0,1.0,0.8,0.8127838776341147
51,0.9660044431800116,0.9957236842105263,0.6666666666666666,0.8006100740868837
52,1.0,1.0,0.8,0.812902236839309
53,0.9376528694142998,0.9636302969636303,0.5757575757575757,0.7714330974431175
54,1.0,0.9969565217391304,0.9259259259259258,0.8543807648021529
55,1.0,1.0,0.8,0.8127838776341147
56,1.0,1.0,0.8947368421052632,0.8266583276248998
57,1.0,0.992,0.8181818181818181,0.8177364044849579
58,1.0,1.0,1.0,0.8631810166779471
59,1.0,1.0,1.0,0.8761838182994475
60,0.9660044431800116,0.9957236842105263,0.6666666666666666,0.8006100740868837
61,1.0,1.0,0.9354838709677418,0.824083827421848
62,1.0,1.0,1.0,0.9
63,1.0,1.0,1.0,0.8631810166779471
64,1.0,1.0,0.8,0.8127838776341147
65,1.0,1.0,0.9310344827586208,0.871623516991177
66,1.0,1.0,1.0,0.9
67,0.9660044431800116,0.9957236842105263,0.6666666666666666,0.8006100740868837
68,1.0,0.9959090909090909,0.8571428571428572,0.807987011815096
69,1.0,1.0,1.0,0.8805451094315708
70,1.0,1.0,0.8947368421052632,0.834439758129734
71,1.0,1.0,0.8,0.7717064758849371
72,1.0,1.0,0.9354838709677418,0.824083827421848
73,0.9458376863027147,0.9940119760479041,0.6428571428571429,0.7834079371845267
74,1.0,1.0,1.0,0.9
75,1.0,1.0,1.0,0.9
76,1.0,1.0,0.8,0.812902236839309
77,1.0,1.0,0.8,0.812902236839309
78,0.9537195560336333,1.0,0.7777777777777779,0.8174515418511663
79,1.0,1.0,1.0,0.8858029729541236
80,1.0,0.9913888888888889,0.7777777777777779,0.8119609459795857
81,0.9599910578683661,0.9907869481765835,0.6363636363636362,0.7659069696157557
82,1.0,1.0,1.0,0.8858029729541236
83,1.0,0.9820833333333333,0.7142857142857143,0.8060663658892517
84,0.9376528694142998,0.9636302969636303,0.5757575757575757,0.7714330974431175
85,1.0,1.0,1.0,0.8765283631264775
86,0.972558299803924,0.9734882335418529,0.6129032258064515,0.8062862758219892
87,1.0,1.0,0.8947368421052632,0.8266583276248998
88,1.0,0.9787878787878788,0.7647058823529413,0.7950966073758514
89,0.9599910578683661,0.9907869481765835,0.6363636363636362,0.7659069696157557
90,1.0,0.9969565217391304,0.9259259259259258,0.8543807648021529
91,1.0,1.0,1.0,0.8805451094315708
92,1.0,1.0,0.8947368421052632,0.834439758129734
93,1.0,1.0,1.0,0.8631810166779471
94,1.0,0.998125,0.8181818181818181,0.8096208717366555
95,1.0,1.0,1.0,0.9
96,1.0,0.9913793103448276,0.7931034482758622,0.8013958336693205
97,1.0,1.0,1.0,0.9
98,1.0,0.9913888888888889,0.7777777777777779,0.8119609459795857
99,1.0,1.0,0.8,0.8127838776341147
100,1.0,0.9941379310344828,0.8378378378378379,0.8416503041614898
101,1.0,1.0,1.0,0.9
102,1.0,1.0,0.8,0.8127838776341147
103,1.0,0.998125,0.8181818181818181,0.8096208717366555
104,1.0,1.0,1.0,0.8858029729541236
105,1.0,1.0,1.0,0.9
106,1.0,1.0,1.0,0.8805451094315708
107,1.0,1.0,0.8,0.7828898670829316
108,0.9722235550914035,0.9815151515151516,0.6666666666666666,0.8226442600897033
109,1.0,1.0,1.0,0.8783489257267705
110,1.0,1.0,0.8947368421052632,0.8266583276248998
111,1.0,1.0,0.9310344827586208,0.871623516991177
112,1.0,0.992,0.8181818181818181,0.8177364044849579
113,1.0,1.0,0.9130434782608695,0.8230509179526804
114,1.0,0.9913888888888889,0.7777777777777779,0.8119609459795857
115,1.0,0.9907692307692307,0.7777777777777779,0.8415264252825971
116,1.0,1.0,1.0,0.9
117,0.993542671909434,0.9525072324011572,0.6538461538461539,0.7710295034396419
118,0.972558299803924,0.9734882335418529,0.6129032258064515,0.8062862758219892
119,1.0,1.0,1.0,0.9
120,0.9600908439820575,0.9839762611275964,0.7000000000000001,0.7982179783172771
121,1.0,0.9907692307692307,0.7777777777777779,0.8415264252825971
122,0.9722235550914035,0.9815151515151516,0.6666666666666666,0.8226442600897033
123,1.0,1.0,1.0,0.9
124,0.9270196150255172,0.9753193960511034,0.6521739130434783,0.8022760852162936
125,1.0,1.0,1.0,0.8631810166779471
126,1.0,1.0,1.0,0.9
127,0.9556194922461683,0.9840136054421769,0.7142857142857143,0.8324534679790695
128,1.0,1.0,0.8947368421052632,0.8282243683320407
129,0.9620663306343504,0.9790178571428572,0.627906976744186,0.8000722068912084
130,1.0,0.9969565217391304,0.9259259259259258,0.8543807648021529
131,1.0,0.9913793103448276,0.7931034482758622,0.8013958336693205
132,0.9722235550914035,0.9815151515151516,0.6666666666666666,0.8226442600897033
133,1.0,1.0,0.9354838709677418,0.8681296977502512
134,1.0,0.9818518518518519,0.7333333333333333,0.8194258387401397
135,1.0,1.0,0.8,0.7828898670829316
136,1.0,1.0,1.0,0.8761838182994475
137,1.0,1.0,1.0,0.8829884416424625
138,0.9599910578683661,0.9907869481765835,0.6363636363636362,0.7659069696157557
139,1.0,1.0,1.0,0.8783489257267705
