time,vertex,state,state_id,buffer_occupation,production_step
1,0,working,2,0.0,0
1,71,working,2,0.0,0
1,1,working,2,0.0,1
1,29,working,2,0.0,1
1,2,working,2,0.0,2
1,25,starved,0,0.0,2
1,50,starved,0,0.0,2
1,51,starved,0,0.0,2
1,70,starved,0,0.0,2
1,3,working,2,0.0,3
1,33,starved,0,0.0,3
1,4,working,2,0.0,4
1,28,starved,0,0.0,4
1,41,starved,0,0.0,4
1,52,starved,0,0.0,4
1,69,starved,0,0.0,4
1,5,working,2,0.0,5
1,22,starved,0,0.0,5
1,6,starved,0,0.0,6
1,23,starved,0,0.0,6
1,30,starved,0,0.0,6
1,46,starved,0,0.0,6
1,7,starved,0,0.0,7
1,42,starved,0,0.0,7
1,67,starved,0,0.0,7
1,8,starved,0,0.0,8
1,40,starved,0,0.0,8
1,57,starved,0,0.0,8
1,9,starved,0,0.0,9
1,34,starved,0,0.0,9
1,36,starved,0,0.0,9
1,61,starved,0,0.0,9
1,10,starved,0,0.0,10
1,48,starved,0,0.0,10
1,65,starved,0,0.0,10
1,73,starved,0,0.0,10
1,11,starved,0,0.0,11
1,43,starved,0,0.0,11
1,58,starved,0,0.0,11
1,68,starved,0,0.0,11
1,12,starved,0,0.0,12
1,32,starved,0,0.0,12
1,13,starved,0,0.0,13
1,26,starved,0,0.0,13
1,37,starved,0,0.0,13
1,59,starved,0,0.0,13
1,63,starved,0,0.0,13
1,14,starved,0,0.0,14
1,31,starved,0,0.0,14
1,35,starved,0,0.0,14
1,54,starved,0,0.0,14
1,56,starved,0,0.0,14
1,15,starved,0,0.0,15
1,39,starved,0,0.0,15
1,49,starved,0,0.0,15
1,66,starved,0,0.0,15
1,72,starved,0,0.0,15
1,16,starved,0,0.0,16
1,27,starved,0,0.0,16
1,17,starved,0,0.0,17
1,24,starved,0,0.0,17
1,45,starved,0,0.0,17
1,18,starved,0,0.0,18
1,55,starved,0,0.0,18
1,60,starved,0,0.0,18
1,64,starved,0,0.0,18
1,19,starved,0,0.0,19
1,44,starved,0,0.0,19
1,53,starved,0,0.0,19
1,62,starved,0,0.0,19
1,20,starved,0,0.0,20
1,47,starved,0,0.0,20
1,21,starved,0,0.0,21
1,38,starved,0,0.0,21
2,0,working,2,0.0,0
2,71,working,2,0.0,0
2,1,working,2,0.3333333333333333,1
2,29,working,2,0.0,1
2,2,working,2,0.0,2
2,25,working,2,0.0,2
2,50,starved,0,0.0,2
2,51,starved,0,0.0,2
2,70,starved,0,0.0,2
2,3,working,2,0.0,3
2,33,working,2,0.0,3
2,4,working,2,0.0,4
2,28,working,2,0.0,4
2,41,starved,0,0.0,4
2,52,starved,0,0.0,4
2,69,starved,0,0.0,4
2,5,working,2,0.3333333333333333,5
2,22,working,2,0.0,5
2,6,working,2,0.0,6
2,23,working,2,0.0,6
2,30,starved,0,0.0,6
2,46,starved,0,0.0,6
2,7,working,2,0.0,7
2,42,working,2,0.0,7
2,67,starved,0,0.0,7
2,8,working,2,0.0,8
2,40,working,2,0.0,8
2,57,starved,0,0.0,8
2,9,working,2,0.0,9
2,34,working,2,0.0,9
2,36,starved,0,0.0,9
2,61,starved,0,0.0,9
2,10,working,2,0.0,10
2,48,working,2,0.0,10
2,65,starved,0,0.0,10
2,73,starved,0,0.0,10
2,11,working,2,0.0,11
2,43,working,2,0.0,11
2,58,starved,0,0.0,11
2,68,starved,0,0.0,11
2,12,working,2,0.0,12
2,32,working,2,0.0,12
2,13,working,2,0.0,13
2,26,working,2,0.0,13
