"name","fitness_mean","precision_mean","simplicity_mean","generalization_mean","fitness_sd","precision_sd","simplicity_sd","generalization_sd","fitness_alfa","precision_alfa","simplicity_alfa","generalization_alfa"
"Alpha Miner",0.987329040351861,0.978940671399933,0.820468843713459,0.843448522717719,0.0189173767095078,0.0229020660217563,0.127581459550753,0.0373902808643636,0.981329040351861,0.971940671399933,0.786468843713459,0.832448522717719
"Inductive Miner",1,0.925812646175492,0.823552595797183,0.841068274176603,0,0.0922143657219147,0.1196794207213,0.038279854758615,NA,0.901812646175492,0.791552595797183,0.830068274176603
"Heuristics Miner",0.99328629733345,0.911653471082744,0.905951899879282,0.858372289290948,0.00690746846095479,0.184347764643432,0.0687101975028662,0.0273451382683176,0.99028629733345,0.865653471082743,0.886951899879282,0.850372289290948
