"name","fitness_mean","precision_mean","simplicity_mean","generalization_mean","fitness_sd","precision_sd","simplicity_sd","generalization_sd","fitness_alfa","precision_alfa","simplicity_alfa","generalization_alfa"
"Alpha Miner",0.992032356796841,0.994246898025291,0.851882492957764,0.835217335757517,0.0178950466506954,0.00948129801952837,0.121185718145126,0.0377014221954731,0.986032356796841,0.990246898025291,0.819882492957764,0.824217335757517
"Inductive Miner",1,0.964576124780942,0.855072451874432,0.834042231504217,0,0.0828534517501825,0.115291252580211,0.0393117796100031,NA,0.943576124780942,0.825072451874432,0.823042231504217
"Heuristics Miner",0.994517186178604,0.943546731985622,0.928565766507674,0.85761217826729,0.00680749792051209,0.142069446560134,0.0735859782325056,0.0273521103356378,0.991517186178604,0.907546731985622,0.908565766507674,0.84961217826729
